ADDRESS,COPIES HELD,StartIndex,EndIndex
tz1Urq3uyKnJirZ3NH7VPPX7P7QQ7DMmfrHs,10,0,9
tz1gfc1S3RQoMeQNnbs61NxomqjKbMQZCLoc,4,10,13
tz1fhd4k1jSJRRcNVbkMwVzkKEhX3kzApsfk,3,14,16
tz1RrJTiy6obAbizYXimyNKALKRvCYLkVWLL,3,17,19
tz1hm31gL4DXUeoaKsHCeWW91JFPrdBYgnnD,2,20,21
tz1RNaWaAuZjWxmdFzm28pVBgf3bhMcfTN8R,2,22,23
tz1eht4WAjkqU7kaupJd8qCDmec9HuKfGf68,2,24,25
tz1ghwNkBEVuiYhcaf16y9XfhGGX8WZNoVd4,2,26,27
tz2WNxPcE7JZhAFfqGEHkMtd2gcHaeiJKMWE,2,28,29
tz2VvzbwcM5Cxm1cpP1NjBXFLiFomsH1KnaV,2,30,31
tz2C9dNfkPai9NTahNWJyZzTVRz9ywjjhJKD,2,32,33
tz1bie4qAmN9VnwM9zZ83bRJLxenvLz9DCiw,1,34,34
tz1cjHCorsyNqN3cWWKoYpzycBJmpifyoWd6,1,35,35
tz1dF16PzWVp7R9iVgyp1be9kojS8rUHS9MR,1,36,36
tz1ej4VrWM9mwC5dzjX6LHtN6zcohoTr7X9Q,1,37,37
tz1emc9Uto1fXZWfau8zWDCGL5e2PpnrRxqg,1,38,38
tz1esEY2yNUNAFnescGecqbiEjuB7W5uvJNE,1,39,39
tz1ewfUSKYFaKZShpsuJfcdVUg3JJA73fbLi,1,40,40
tz1eyBs1AtFFHRpR7FkWS87W9mbzHGA2mJZP,1,41,41
tz1f94uZ7SF2fLKnMjFzGQTbznd8qpAZ12is,1,42,42
tz1fb6jz7rh4H7AojLShvhiXKaSNDyvkH7sM,1,43,43
tz1fix4myqrjzSTDkQ2tqfdEem1D9gd6AQLo,1,44,44
tz1ftoC3bbCYRg6DTTR3tzUT1bQWEZF4DVbK,1,45,45
tz1g6JRCpsEnD2BLiAzPNK3GBD1fKicV9rCx,1,46,46
tz1h5YWqEWDhdTpWgB4hBtdN7iDavcDkYM6j,1,47,47
tz1hh1BmBNT2Z4a5tNPhvGWQ2vi7MxErA4Q3,1,48,48
tz1iaFR8cYHP6KM5NhduzcGqWSopB3kidomi,1,49,49
tz1iGzCy3wj3QxEVdVkgrwNNd9yzBT9QvEKq,1,50,50
tz1iZ9yHJzgvC4oBvHsrNmtL8GHPqtwqshAi,1,51,51
tz1KrBYWqGriNsu7suyme2xvDZrgZFs9ERJh,1,52,52
