Address,Twitter,User Reward,Supply Percent
tz1fhd4k1jSJRRcNVbkMwVzkKEhX3kzApsfk,,321,3.5240%
tz1dJZLfZSgrU9ajLozqMez3KUkGoW5Cnsjd,,205,2.2505%
tz1LTepZpT3TfWGAyroTfgDSdV4sAYhdnuGY,@tokyomegaplex,147,1.6138%
tz1fb4EaCS7yj51XNgTfAzCvLKgR97HnMeHj,@kkkkkkkkaleb,145,1.5918%
tz2X3jQAeRG3tZLxpsmPfMMw6wbWBUCu9x8S,@h4ptik,110,1.2076%
tz1Sew8x4S8xfnmHweASbxen2ooDQkP1NATL,@nft_system,107,1.1747%
tz1c6836nz23Htq4EGa9YVfZwJNsbNWaSbwF,,101,1.1088%
tz1UhNtUf5mQ98mC9PUKfPTX4XanyEVztLVf,@wxly13,101,1.1088%
tz1NGDuYTuuB1geX1K5b88cqa8JinFLdd3d5,@DlSPUTED,100,1.0978%
tz2SMoEmBGX9LvVWJcd6py4emfxNzQyBPsyK,,99,1.0868%
tz1aWnxe7tVDrF8LNH6BNEXJx8gEXNrinPRX,,95,1.0429%
tz1TUYiabZvck25KV8urL93nHxwmqwi1sZXP,@NFT_Dream,95,1.0429%
tz1h5ggjuAGW33VPksGmpBru2B3Cn868uxsh,@GaloAndStuff,94,1.0319%
tz1emc9Uto1fXZWfau8zWDCGL5e2PpnrRxqg,@metadunc,92,1.0100%
tz1PTvHHaAi7bTxkYyd6MYrHjxToqCnXB1Ls,,90,0.9880%
tz1LSjfgjLXmbp6VtPx7Tptxuh3Ljjbqj2Py,@idlebit,88,0.9661%
tz1Phxy1rZL6NW5wRV7zpCY2AvkdwRLh2zoz,,86,0.9441%
tz1Sd3RecAENiQyN6CV4SVHTZxDdGbhj1rAR,,85,0.9331%
tz1Pf9opMLi5ZcKmTiWsDH1vZrfMjQ1pY9pZ,@kahreo,83,0.9112%
tz1WidyAU8wuyG25Pd7b93bcx9hMu7W9Pea8,@veqtor,80,0.8783%
tz1PNht1EPDbgfZYSPCQqvmioGsSbAq2RVj3,@genericorp,78,0.8563%
tz1Urq3uyKnJirZ3NH7VPPX7P7QQ7DMmfrHs,@historicalive,74,0.8124%
tz1iQ5n52oSKgdtdYtqEJgKmQYbL1nn2poB8,,70,0.7685%
tz1M1TAPmAWgZGR4hcC1MFALjAVSih3YCXE2,,68,0.7465%
tz1MdxKdeDfua4agvqPzp9MhA7i9vKWotm2R,@cam_ltu,52,0.5709%
tz1a2ZeWmyNQ8BiuFNTE4vmFEP9MBaP76QPX,@datcsv,49,0.5379%
tz1c2iwyckUCcicx2qxqtwLEartYFEHg1pvB,@Esclaponr,47,0.5160%
tz1gsrd3CfZv4BfPnYKq5pKpHGFVdtGCgd71,@mathmakesart,47,0.5160%
tz1RrJTiy6obAbizYXimyNKALKRvCYLkVWLL,,47,0.5160%
tz1XsDA6LrZUmuKUCqr3dXXzZ9zY5xpixBpE,,44,0.4830%
