Address,Collage 001 Reward,MATH Reward
tz2Tv8m3SG8Xj2tRmgqz56QnVhQF3QcUeroo,7,20
tz1LGa2ePYGgWuxKF9z4Ps341N1M4xuUm6Nb,3,15
tz1RrJTiy6obAbizYXimyNKALKRvCYLkVWLL,3,15
tz1iaFR8cYHP6KM5NhduzcGqWSopB3kidomi,1,10
tz1fhMwbUtYBdJtGEZDSKPVaGqu1LCADSGNJ,1,10
tz1THwbFPPPBHmBu4cmLV2SppLFrA5QfBhyF,1,10
tz1Xd75PTAwQhK9TAhUZxB7GtdczkE3397Bu,1,20
tz1cjTb6ijvnPrJBfaTEFphxDovW9xQbkmDK,1,10
tz1iQ5n52oSKgdtdYtqEJgKmQYbL1nn2poB8,1,10
tz1Urq3uyKnJirZ3NH7VPPX7P7QQ7DMmfrHs,1,10
tz1Wwe1nC7QmLXNa1rTm2ZAojm3HjDQ2jrj6,1,10
tz2CcTzrLDhqFK1Bqt9iiVSPGDezvbnXntpe,1,10
tz1Xx1KnngqcdWXxjaWHknEgWVcGLgStfTqv,1,20
tz2SMoEmBGX9LvVWJcd6py4emfxNzQyBPsyK,1,10
tz1ZWje5jpfbWrG5iuxz7qUx7eBLLAS5Tv3z,1,10
tz1YseydcorqAoU5AY4xkvNqhghWSuKMLnCc,1,10
tz2AjoLXod2ZRaB7L38uFNg88XZFF67fUxDm,1,20
tz1NgN7FCrSzs4vfMroKXyKE32WsReYD4WPd,1,10
tz1MQTKJHKrnMKzQjnhaWyzwXhbURbjfgGtg,1,10
tz1XEJFTcKBmQrQHgAEsQ4UUWfk1FMnG5SeA,1,10
tz1dyAMs4LvYPMEHncziQ95V4vjqdoxi5BrF,1,10
tz1YHLm7Lq27q3rgVXLY424zQMkvncVvNiaK,1,20
tz1PYqfNnkpZydtSY2Tn3Rv8mjkgUpHJpFXC,1,10
tz1ZhimgHgutqRAy229UuadFCnYCtybjrJpL,1,10
tz1RNaWaAuZjWxmdFzm28pVBgf3bhMcfTN8R,1,20
tz1MjNtnX6vUusRRtkShgj9rjft6CH5qM1UF,1,10
tz1fhd4k1jSJRRcNVbkMwVzkKEhX3kzApsfk,1,20
tz1ftoC3bbCYRg6DTTR3tzUT1bQWEZF4DVbK,1,20
tz1fb6jz7rh4H7AojLShvhiXKaSNDyvkH7sM,1,20
tz1YokFzMR1hX4m4aBqgutxLSUKFDdNoYGEN,1,10
tz1Y9HHJpZBQdm6xvf9C1nzQYKAU5kifqZLs,1,10
tz1RJaJXwrqyjUtWyXqcybX77yUKHj8j3oyL,1,10
tz1X3eZfpMQJ6bkjLzj7d1gy3UC2LM2UBW7F,1,10
tz1hm31gL4DXUeoaKsHCeWW91JFPrdBYgnnD,1,10
tz1emc9Uto1fXZWfau8zWDCGL5e2PpnrRxqg,1,10
tz1PYJbuAbc14ZBLbD7jQszoVDDEbMBpjYKG,1,10
tz2NWTRnnJYh3pY98PCJsBWKnHAnYwdKZMHc,1,10
tz1iriVRaQWaU97xwzxXZbmNREKm332MuixZ,1,10
tz1gKQKVmgU2qeeS98dh74g6t3M7pu6YGvYk,1,5
tz1WJpBDRGfa21un4yQDKTGXZw561nsGg7Qe,1,5
tz1a2ZeWmyNQ8BiuFNTE4vmFEP9MBaP76QPX,1,5
tz1YhgsJsoyC5TPLFmbaNgWWNyYAavd9SLJh,1,5
tz1fwo8fjkr6vTDzmN5iqTuvRpGqYnvGbCJm,1,5
tz1PZ7a2uDxKHd2NouLrDyjFVfpvpfJ3HBNR,1,5
tz1R1dWA84zNgJzobDQ6pW2heJUom8n5ad3Q,1,5
tz2EaL8HTqjZhVAWrQ3Ddp4wNCxPeE8CtM5f,1,15
tz1cjHCorsyNqN3cWWKoYpzycBJmpifyoWd6,1,5
tz1fTZs8yQdVPzn56ygMmUTRmiLiLC8iFNtj,1,5
tz1hh1BmBNT2Z4a5tNPhvGWQ2vi7MxErA4Q3,1,5
tz1YWQ7r5RGeP5S9emzkpHSYeeXduhCn4r2K,1,5
tz1esEY2yNUNAFnescGecqbiEjuB7W5uvJNE,1,5
tz1bb6K9DZ7CYad9MwiuuREL1o33bWWCGXTE,1,15
tz1YkiLmXXpTfGkUYTD97p3ttK3tjD7oJn51,1,5
tz1gi68wGST7UtzkNpnnc354mpqCcVNQVcSw,1,5
tz1ZhteLTqobRVCYsPj44oFfom5BJ2SdGxeE,1,5
tz1TUYiabZvck25KV8urL93nHxwmqwi1sZXP,1,15
tz1WxFjVRimwvM1szJ7cURftVGRLHTTHuxjm,1,5
tz2Pb12AvGrCgAYbHQoRc3R13F9QkEL1ZnoV,1,5
tz1bnWUvcfU77EBpbLUQ41c3hCBKovGuqyGY,1,5
tz1WwLpnjMbjfQEmUpExC8wqNuZP5vTjYqgS,1,5
tz1NzZB8EdvW5Uppth48tbajc77Uk3iXTmkg,1,5
tz2WKRK3i3zBjX8aAyFn3FVWmYDAHFudQgh2,1,5
tz1QsWLG1H9yYiTbJ6PX8e2i3aUJGdxk1Ufp,1,5
tz1iZ9yHJzgvC4oBvHsrNmtL8GHPqtwqshAi,1,5
tz1TQcXkpNSFoQHX86WuNmTqJmwDwg2cAjhx,1,5
tz1hvfkpf7HbnE1Rroi7JbyegVjZzu97Yqw6,1,5
tz1S2g8PKzwDkZmrMGpCU8TApYp2vt8fi8Vb,1,5
tz1c3hFmjFSwunjLHECnYyjr42KRt5YiHrGX,1,5
tz1KgzP46kFAohMo8NHXkFU7STZDkAv8LVYq,1,5
tz1aVzhX3gFAHKaqea7YaxXj65vG2hoTVEC3,1,5
tz1isUkFmwZvUqrBPLnfTn9hVqMcNzKCdCp3,1,5
tz1QadXJPVHnQVfuVW6avJDVpE5MJX9rMEcS,1,5
tz1gH5qBndFDibwQ1jyZ3QDGcm35qYD7ndru,1,5
tz1aJWmPz66rxbMZM9deM5j4dg6JYFWpKdwV,1,5
tz1MT9A2Fhs6PwsUXtYgVUxGNxHeuHX93sr8,1,5
tz1g6JRCpsEnD2BLiAzPNK3GBD1fKicV9rCx,1,5
tz1ajbUoguHiipVftY865tu8r1aRYEVWMKZz,1,5
tz1fix4myqrjzSTDkQ2tqfdEem1D9gd6AQLo,1,5
